Age;Gender;Before-Environment;Before-ClassworkStress;Before-HomeworkStress;Before-HomeworkHours;Now-Environment;Now-ClassworkStress;Now-HomeworkStress;Now-HomeworkHours
14;Male;Physical;1;3;2;Virtual;3;5;4,5
13;Male;Physical;5;4;2;Virtual;3;5;2,5
16;Female;Virtual;1;3;10;Virtual;3;5;15
17;Male;Physical;4;4;6;Physical;5;1;6
14;Male;Physical;3;4;4;Physical;5;5;6
17;Male;Physical;1;1;3;Virtual;5;6;14
18;Female;Physical;2;3;3;Virtual;3;5;6
17;Male;Physical;1;3;3;Virtual;5;5;5
16;Female;Hybrid;3;3;3;Hybrid;2;4;1
15;Female;Physical;2;2;1;Virtual;1;2;5
18;Male;Hybrid;3;2;4;Virtual;4;3;4
15;Female;Physical;2;3;4;Virtual;4;5;8
14;Female;Virtual;1;1;3;Virtual;5;6;5
15;Female;Physical;2;2;4;Virtual;2;3;7
15;Female;Physical;2;3;5;Virtual;6;6;7
14;Female;Physical;5;4;9;Virtual;6;5;10
15;Female;Physical;0;0;0;Virtual;3;3;6
17;Female;Physical;3;5;3,5;Physical;3;2;1,5
14;Male;Physical;4;4;1;Virtual;4;4;2
14;Other;Physical;2;5;2;Virtual;4;5;4
16;Female;Physical;3;5;4;Virtual;2;4;4
20;Male;Physical;3;4;3;Virtual;3;5;5
15;other;Physical;1;1;1;Hybrid;2;5;8
17;Male;Physical;2;3;1;Hybrid;3;5;2
17;Male;Physical;4;5;5;Virtual;1;5;2
17;Other;Physical;1;3;3;Virtual;3;5;4
15;Male;Physical;2;3;0;Hybrid;4;3;2
17;Female;Physical;4;4;2,5;Hybrid;6;6;5
17;Female;Physical;2;3;0;Virtual;1;1;2
15;Female;Physical;2;1;0;Hybrid;5;5;3
16;other;Physical;1;2;1;Virtual;6;6;2
15;Male;Physical;3;4;1;Hybrid;5;5;1
21;Male;Physical;2;5;4;Virtual;2;6;6
16;Male;Physical;2;2;1;Virtual;4;4;1
15;Male;Physical;3;4;2;Physical;5;4;3
19;Female;Hybrid;1;4;2;Virtual;2;5;5
16;other;Physical;6;4;2;Physical;6;5;1
20;Female;Physical;2;2;3;Virtual;4;4;4
22;Female;Virtual;2;1;1;Virtual;3;3;1
21;Female;Physical;2;3;3;Virtual;2;4;4
